,word,file_urls
0,akh,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/a.mp3?raw=true
1,पेठॅ कनि,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/above.mp3?raw=true
2,पत,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/after.mp3?raw=true
3,छुस,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/am.mp3?raw=true
4,हेकुन,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/can.mp3?raw=true
5,रवातेर,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/for.mp3?raw=true
6,छः,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/having.mp3?raw=true
7,छु,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/is.mp3?raw=true
8,प्यठ,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/on.mp3?raw=true
9,हु,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/that.mp3?raw=true
10,यि,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/the.mp3?raw=true
11,b,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/I.mp3?raw=true
12,choun,https://github.com/Aman-Kachru/Kashmiri_Stopwords/blob/main/your.mp3?raw=true
